ski_area,state_full,lat,long,website,year_opened,remove
49 Degree North Ski Area,Washington,48.30156486,-117.5630173,www.ski49n.com,1972,
Abenaki Ski Area,New Hampshire,43.61061831,-71.23026839,www.wolfeboronh.us/abenaki-ski-area,1938,
Afton Alps Ski Area,Minnesota,44.85837569,-92.7878062,www.aftonalps.com,1963,
Alpine Valley Resort,Wisconsin,42.7365024,-88.42813573,www.alpinevalleyresort.com,1963,
Alpine Valley Ski Area,Michigan,42.6536491,-83.52300158,www.skialpinevalley.com,1962,
Alpine Valley Ski Area,Ohio,41.5274965,-81.25987375,www.alpinevalleyohio.com,1962,
Alta Sierra Ski Resort & Terrain Park,California,35.71199998,-118.5602939,www.altasierra.com,1976,
Alta Ski Area,Utah,40.58861325,-111.6386022,www.alta.com,1938,
Alyeska Resort,Alaska,60.97090586,-149.0986401,www.alyeskaresort.com,1959,
"Andes Tower Hills, Inc.",Minnesota,45.85161767,-95.6304971,www.andestowerhills.com,1981,
Angel Fire Resort,New Mexico,36.38763797,-105.2720266,www.angelfireresort.com,1966,
Anthony Lakes,Oregon,44.9632112,-118.2335621,www.anthonylakes.com,1962,
Appalachian Ski Mtn.,North Carolina,36.17307564,-81.66395116,www.appskimtn.com,1962,
Arapahoe Basin Ski Area,Colorado,39.64342057,-105.8719826,www.arapahoebasin.com,1946,
Arctic Valley Ski Area,Alaska,61.24693589,-149.5329227,arcticvalley.org,1949,
Arizona Snowbowl,Arizona,35.33146364,-111.7059655,www.snowbowl.ski,1938,
Arrowhead Recreation Area,New Hampshire,43.3639506,-72.33322265,www.arrowheadnh.com,1963,
Aspen Highlands,Colorado,39.18252111,-106.8563308,www.aspensnowmass.com,1958,
Aspen Mountain,Colorado,39.18704179,-106.8182485,www.aspensnowmass.com,1947,
Attitash Mountain Resort,New Hampshire,44.08346462,-71.22946446,www.attitash.com,1964,
Ausblick Ski Area,Wisconsin,43.13527025,-88.26427274,www.ausblick.org,1970,
Bear Creek Mountain Resort,Pennsylvania,40.47709712,-75.62557757,www.bcmountainresort.com,1967,
Bear Mountain Resort,California,34.23717058,-116.8894923,www.bigbearmountainresort.com,1946,
Bear Valley Mountain,California,38.49342803,-120.0441374,www.bearvalley.com,1967,
Beaver Creek Resort,Colorado,39.60493106,-106.5166894,www.beavercreek.com,1980,
Beaver Mountain Ski Area,Utah,41.96876102,-111.544144,www.skithebeav.com,1939,
Beech Mountain Resort,North Carolina,36.19539261,-81.87802716,www.beechmountainresort.com,1967,
Belleayre Mountain,New York,42.13603282,-74.51002178,www.belleayre.com,1949,
Berkshire East Mountain Resort,Massachusetts,42.62189061,-72.87704917,www.berkshireeast.com,1960,
Big Boulder Ski Area,Pennsylvania,41.05075537,-75.60098159,www.jfbb.com,1947,
Big Powderhorn Mountain Resort,Michigan,46.50990852,-90.09615753,www.bigpowderhorn.net,1964,
Big Rock Mountain,Maine,46.52312705,-67.82886027,www.bigrockmaine.com,1959,
Big Sky Resort,Montana,45.28637807,-111.4011647,www.bigskyresort.com,1973,
Big Snow Resort,Michigan,46.5061259,-89.99757551,www.bigsnow.com,1959,
Black Mountain of Maine,Maine,44.57754049,-70.6131831,skiblackmountain.org,1960,
Black Mountain Ski Area,New Hampshire,44.16718913,-71.1636333,www.blackmt.com,1935,
Blacktail Mountain Ski Area,Montana,48.01545371,-114.3694595,www.blacktailmountain.com,1998,
Blue Knob,Pennsylvania,40.29751956,-78.543661,www.blueknob.com,1963,
Blue Mountain Resort,Pennsylvania,40.81142835,-75.520864,www.skibluemt.com,1977,
Bluebird Backcountry,Colorado,40.39976696,-106.5491264,www.bluebirdbackcountry.com,2018,
Bluewood Ski Area,Washington,46.08318612,-117.8509098,www.bluewood.com,1980,
Bogus Basin Mountain Recreation Area,Idaho,43.64321201,-116.205993,www.bogusbasin.org,1942,
Bolton Valley Resort,Vermont,44.42295322,-72.85120823,www.boltonvalley.com,1966,
Boreal Mountain Resort,California,39.33669345,-120.3505414,www.rideboreal.com,1964,
Boston Mills/Brandywine Ski Resort,Ohio,41.26560198,-81.56315701,www.bmbw.com,1963,
Bousquet Ski Area,Massachusetts,42.41970858,-73.27657694,www.bousquetmountain.com,1932,
Boyce Park Ski & Tubing Area,Pennsylvania,"40.462599600283006,",-79.74752259,www.alleghenycounty.us/parks,1965,
Boyne Highlands Resort,Michigan,45.46543121,-84.92655646,www.boynehighlands.com,1963,
Boyne Mountain Resort,Michigan,45.16394307,-84.93002408,www.boynemountain.com,1947,
Bradford Ski Area,Massachusetts,42.74543641,-71.05579374,www.skibradford.com,1948,
Breckenridge Ski Resort,Colorado,39.48355119,-106.0682096,www.breckenridge.com,1961,
Bretton Woods Ski Area,New Hampshire,44.25986134,-71.4600878,www.brettonwoods.com,1973,
Brian Head Resort,Utah,37.7030812,-112.8497849,www.brianhead.com,1965,
Bridger Bowl Ski Area,Montana,45.81799926,-110.8966828,www.bridgerbowl.com,1955,
Brighton Ski Resort,Utah,40.59915948,-111.5828008,www.brightonresort.com,1936,
Bristol Mountain Resort,New York,42.74605884,-77.40407477,www.bristolmountain.com,1964,
Bromley Mountain Resort,Vermont,43.21367631,-72.934816,www.bromley.com,1936,
Brundage Mountain Resort,Idaho,45.00605237,-116.1545623,www.brundage.com,1961,
Bryce Resort,Virginia,38.81827461,-78.76567084,www.bryceresort.com,1965,
Buck Hill Ski & Snowboard Area,Minnesota,44.72518273,-93.283994,www.buckhill.com,1954,
Buena Vista Ski Area,Minnesota,47.65890262,-94.87879971,www.bvskiarea.com,1949,
Burke Mountain Resort LLC,Vermont,44.58849251,-71.9134354,www.skiburke.com,1956,
Buttermilk,Colorado,39.20645136,-106.8611545,www.aspensnowmass.com,1958,
Caberfae Peaks,Michigan,44.24521606,-85.7204223,www.caberfaepeaks.com,1937,
Camden Snow Bowl,Maine,44.21796054,-69.13478215,www.camdensnowbowl.com,1939,
Camelback Resort,Pennsylvania,41.05198,-75.35467,www.skicamelback.com,1963,
Camp 10 Ski Area,Wisconsin,45.55093013,-89.49908897,www.camp10skiandsnowboard.com,1958,
Campton Mountain,New Hampshire,43.86885865,-71.6093963,www.camptonmountain.com,1970,
Canaan Valley Resort,West Virginia,39.00916721,-79.4386729,www.canaanresort.com,1971,
Cannon Mountain,New Hampshire,44.17800585,-71.70186722,www.cannonmt.com,1938,
Cannonsburg Ski Area,Michigan,43.05537981,-85.50187167,www.cannonsburg.com,1965,
Cascade Mountain,Wisconsin,43.50436262,-89.51732127,www.cascademountain.com,1962,
Cataloochee Ski Area,North Carolina,35.56311876,-83.08985671,www.cataloochee.com,1961,
Catamount Mountain Resort,New York,42.16975185,-73.47675414,www.catamountski.com,1939,
Cherry Peak Resort,Utah,41.92700275,-111.7563843,www.skicpr.com,2015,
Chester Bowl,Minnesota,46.8138711,-92.09589417,www.chesterbowl.org,1968,
Chestnut Mountain Resort,Illinois,42.3197627,-90.39377154,www.chestnutmtn.com,1959,
China Peak Mountain Resort,California,37.23720435,-119.1573493,www.skichinapeak.com,1958,
Christie Mountain Snow Area,Wisconsin,45.50976918,-91.38080234,www.christiemountain.com,1976,
Cloudmont Ski,Alabama,34.53576232,-85.60321299,www.cloudmont.com,1971,
Cochrans Ski Area,Vermont,44.39580999,-72.9817133,www.cochranskiarea.com,1961,
Cockaigne Resort LLC,New York,42.26459631,-79.16212604,www.cockaigne.com,1960,
Cooper Spur Mountain Resort,Oregon,45.42586513,-121.5903851,www.cooperspur.com,1955,
Copper Mountain Resort,Colorado,39.50647833,-106.1410809,www.coppercolorado.com,1972,
Cranmore Mountain Resort,New Hampshire,44.05704826,-71.1099737,www.cranmore.com,1937,
Crested Butte Mountain Resort,Colorado,38.89972148,-106.9657004,www.skicb.com,1962,
Crotched Mountain Ski & Ride,New Hampshire,43.01287705,-71.87858675,www.crotchedmtn.com,2003,
Crystal Mountain,Michigan,44.52064387,-85.99230222,www.crystalmountain.com,1956,
Crystal Mountain Resort,Washington,46.9293077,-121.5046208,www.crystalmountainresort.com,1964,
Dartmouth Skiway,New Hampshire,43.78838311,-72.09951654,www.dartmouthskiway.com,1956,
